no,nama_pbphh,kantor,pabrik,no_izin,direktur,skala,wilayah
78,UD TRENGGALEK LESTARI,"Ds. Bendoagung rt. 014 Rw. 04, Kec. Kampak","Ds. Bendoagung rt. 014 Rw. 04, Kec. Kampak",P2T/14/14.02/VII/2010,ABDUL BASIT,menengah,1
79,UD BINTANG UTAMA 2,"RT. 03 RW. 01 Desa Petung, Kec. Dongko, Kab. Trenggalek","RT. 03 RW. 01 Desa Petung, Kec. Dongko, Kab. Trenggalek",P2T/118/14.02/01/VII/2015,WARSITO,menengah,1
80,PT ALAM DAMAI MITRA RAYA ADMIRA,"Jln. Raya Pule RT. 05 RW. 02 Desa Tumpuk, Kec. Tugu, Kab. Trenggalek","Jln. Raya Pule RT. 05 RW. 02 Desa Tumpuk, Kec. Tugu, Kab. Trenggalek",P2T/120/14.02/01/VIII/2015,FERY YONG SUSANTO,menengah,1
81,CV HALMAHERA GROUP,"RT. 14 RW. 04, Desa Bendoagung, Kec. Kampak, Kab. Trenggalek","RT. 14 RW. 04, Desa Bendoagung, Kec. Kampak, Kab. Trenggalek",P2T/8/14.03/01/II/2016 (perluasan),SAMUDI,menengah,1
82,UD RIMBA LESTARI,"RT. 10 RW. 05 Desa Bogoran, Kec. Kampak, Kab. Trenggalek","RT. 10 RW. 05 Desa Bogoran, Kec. Kampak, Kab. Trenggalek",P2T/6/14.03/01/II/2016 (perluasan),SUNARI,menengah,1
83,UD SIDO MUKTI,RT13.RW08. Desa Bogoran. Kec. Kampak Kab Trenggalek,RT13.RW08. Desa Bogoran. Kec. Kampak Kab Trenggalek,P2T/22/14.02/01/VI/2016 (perluasan),SULARSIH,menengah,1
84,UD NIZAM PUTRA,"RT06. RW. 03 Desa Sugihan, Kecamatan Kampak Kabupaten Trenggalek","RT06. RW. 03 Desa Sugihan, Kecamatan Kampak Kabupaten Trenggalek","P2T/16/14,02/01/VI/2016",0,menengah,1
85,"UD JUJUR BERKAH, UD",RT. 04 RW 01 DS. SUMBER BENING KEC. DONGKO KAB. TRENGGALEK,RT. 04 RW 01 DS. SUMBER BENING KEC. DONGKO KAB. TRENGGALEK,"P2T/10/14.02/01/IV/2017, TGL. 08 MEI  2017",WAWAN ISMANTO,menengah,1
86,"UD MEKAR ABADI, UD",RT. 15 RW. 03 DS. NGERDANI KEC. DONGKO KAB. TRENGGALEK,RT. 15 RW. 03 DS. NGERDANI KEC. DONGKO KAB. TRENGGALEK,"P2T/11/14.02/01/IV/2017, TGL. 09 MEI  2017",0,menengah,1
87,"UD SUMBER ALAM, UD",RT. 06 RW. 03 DS. BOGORAN  KEC. KAMPAK KAB. TRENGGALEK,RT. 06 RW. 03 DS. BOGORAN  KEC. KAMPAK KAB. TRENGGALEK,"P2T/15/14.02/01/IV/2017, TGL. 09 MEI  2017",ANGGA KRISBIANTARA,menengah,1
88,"UD PERMATA JATI, UD",RT. 19 RW 05 DS. DONGKO KEC DONGKO KAB. TRENGGALEK,RT. 19 RW 05 DS. DONGKO KEC DONGKO KAB. TRENGGALEK,"P2T/16/14.02/01/IV/2017, TGL. 15 MEI  2017",HERI KUSBINI,menengah,1
89,"UD JAYA MULIA, UD",DS. KERTOSONO KEC. PANGGUL KAB. TRENGGALEK,DS. KERTOSONO KEC. PANGGUL KAB. TRENGGALEK,"P2T/32/14.02/01/VIII/ 2017, TGL. 16 AGUSTUS 2017",0,menengah,1
90,UD LESTARI JAYA,RT 14 RW 07 Ds Pule Kec. Pule Kab Trenggalek,RT 08 RW 01 Ds Tanggaran Kec. Pule Kab Trenggalek,P2T/17/14.02/01/VIII/2019,EKO PRAYITNO,menengah,1
91,UD ADIYASA,Desa Senden Kec Kampak Kab Trenggalek,Desa Senden Kec Kampak Kab Trenggalek,14.02/11/01/X/2020,DJARWITO,menengah,1
92,CV CAMPURSARI,"Ds. Wonorejo RT.20 RW.06, Kec. Gandusari","Ds. Wonorejo RT.20 RW.06, Kec. Gandusari",522/3568/406.059/2011,SUMARDI,menengah,1
93,CV SEMOGA JAYA,"Ds. Karangturi RT.01 RW.01, Kec. Munjungan","Ds. Karangturi RT.01 RW.01, Kec. Munjungan",522/3453/406.059/2011,SUGIANTO,menengah,1
94,UD ARFIANDO RAYA,Ds Karangan RT 17 RW 05 Kec. Karangan,Ds Karangan RT 17 RW 05 Kec. Karangan,522/4254/406.059/2011,"ARIF JULIANTO, ST",menengah,1
95,UD BONANZA ABADI,Ds. Dompyong Kec. Bendungan,Ds. Dompyong Kec. Bendungan,522/1762/406.031/2012,NUR CAHYO WIDODO,menengah,1
96,UD KARTIKA,"Ds. Wonorejo RT.09 RW.03, Kec. Gandusari","Ds. Wonorejo RT.09 RW.03, Kec. Gandusari",522/021/406.059/2011,SUKATNO,menengah,1
97,UD KEMBAR RESTU MULYA,"Ds. Karanganyar RT.06 RW.01, Kec. Pule","Ds. Karanganyar RT.06 RW.01, Kec. Pule",522/3659/406.059/2011,SABARIYADI,menengah,1
98,UD MALINDA,"Ds. Bogoran RT.10 RW.05, Kec. Kampak","Ds. Bogoran RT.10 RW.05, Kec. Kampak",522/3454/406.059/2011,KUSNI,menengah,1
99,UD TUNGGAK SEMI,RT 22 RW 05 Ds. Sumberbening Kec. Dongko,RT 22 RW 05 Ds. Sumberbening Kec. Dongko,522/2549/406.031/2012,IMAM MALIKI,menengah,1
100,UD PRATAMA JAYA,"RT. 03 RW. 01 Desa Ngepeh, Kec. Tugu","RT. 17 RW. 07 Desa Ngepeh, Kec. Tugu",P2T/64/14.10/01/X/2014,SOKLI BIRROTUL PRATAMA,menengah,1
101,"UD WAHYU, UD",RT 08 RW 02 Desa Sumberbening  Kec. Donko Kab. Trenggalek,RT 08 RW 02 Desa Sumberbening  Kec. Donko Kab. Trenggalek,P2T/13/14.02/01/V/2017,YATENI,menengah,1
102,CV CV HERLAMBANG ERA ALBASIA,"RT 013 RW 005, Desa Gandusari, Kec. Gandusari, Kab. Trenggalek","RT 013 RW 005, Desa Gandusari, Kec. Gandusari, Kab. Trenggalek",12250007423820006 / 28 November 2023,AHWANI,menengah,1
103,UD CIPTA USAHA BARU,"Ds. Bendosari, Kec. Ngantru","Ds. Bendosari, Kec. Ngantru",44 TAHUN 2007 (KPTS KADISHUTBUN KAB TULUNGAGUNG),H. ABIDIN,kecil,2
104,UD KARYA UTAMA,"Ds. Mojoagung, Kec. Ngantru","Ds. Mojoagung, Kec. Ngantru",43 TAHUN 2007,H. HUSAINI,kecil,2
105,UD KASIL RAHAYU,"Ds. Talun Kulon, Kec. Bandung","Ds. Talun Kulon, Kec. Bandung",52 TAHUN 2007 (KPTS KADISHUTBUN KAB TULUNGAGUNG),SAHRONI,kecil,2
106,UD MUJIKARYA,"Ds. Pulosari, Kec. Ngunut","Ds. Pulosari, Kec. Ngunut",510/153/116.05/2006,MUDJIONO,kecil,2
107,UD PUTRA MENTAYA,"Ds. Jabalsari, Kec. Sumbergempol","Ds. Jabalsari, Kec. Sumbergempol",42 TAHUN 2007 (KPTS KADISHUTBUN KAB TULUNGAGUNG),H. SARIFUDIN,kecil,2
108,UD SUMBER ALAM I,"Ds. Bendungan, Kec. Gondang","Ds. Bendungan, Kec. Gondang",510/152/116.05/2006,H JUHRANI HS,kecil,2
109,UD WINARKO,"Ds. Gedingan, Kec. Kedungwaru","Ds. Gedingan, Kec. Kedungwaru",60 TAHUN 2008 (KPTS KADISHUTBUN KAB TULUNGAGUNG),WINARKO,kecil,2
110,UD LINDA JAYA,"Dsn. Tebokan RT. 01 RW. 04, Ds. Boro, Kec. Kedungwaru, Kab. Tulungagung","Dsn. Tebokan RT. 01 RW. 04, Ds. Boro, Kec. Kedungwaru, Kab. Tulungagung",P2T/45/14.10/01/VII/2014,SITI KUTBAYANAH,kecil,2
111,UD BK COMPANY,RT 02 RW 02 Desa Besuki Kec Besuki Kab Tulungagung,RT 02 RW 02 Desa Besuki Kec Besuki Kab Tulungagung,26/14.07/01/IiI/2022,BAGUS DWI ASMORO,kecil,2
112,UD ELGA USAHA,RT 016 RW 003 Desa Besuki Kec. Munjungan Kab. Trenggalek,RE 02 RW 03 Lingkungan 2 Ds Sumberingin kidul Kab Tulungagung,38/14.07/01/IiI/2022,PAIRUN,kecil,2
113,UD BERKAH JAYA,Dusun Tabokan Desa Boro Kec. Kedungwaru Kab Tulungagung,RT 001 RW 04 Dusun Tabokan Desa Boro Kec. Kedungwaru Kab Tulungagung,46/14.07/01/IiI/2022,LESTARI WIDODO,kecil,2
114,UD MULYA LESTARI,RT  02 RW 01 Desa Kresikan Kec. Tulungagung Kab Tulungagung,RT  02 RW 01 Desa Kresikan Kec. Tulungagung Kab Tulungagung,86/14.07/01/VII/2022,MULYANI,kecil,2
115,UD TRIMA JAYA,RT 06 RW 02 Desa Kresikan Kec. Tulungagung Kab Tulungagung,RT 06 RW 02 Desa Kresikan Kec. Tulungagung Kab Tulungagung,85/14.07/01/VII/2022,TRIMO,kecil,2
116,UD SURYA BERKAH ABADI,RT.01 RW.01  Ds.Wonorejo Kec.Sumbergempol Kab.Tulungagung,RT.01 RW.01  Ds.Wonorejo Kec.Sumbergempol Kab.Tulungagung,"80/14.07/01/VII/2022
",Yudi Wibowo,kecil,2
117,UD DAYA MUATAN,"Dsn.Kalidawir RT.001 RW.006, Ds.Kalidawir, Kec.Kalidawir, Kab.Tulungagung","Dsn.Kalidawir RT.001 RW.006, Ds.Kalidawir, Kec.Kalidawir, Kab.Tulungagung","122/14.07/01/XI/2022
24 November 2022",Surdi,kecil,2
