no,nama,alamat,ketua,jenis_usaha,no_register,anggota,wilker
56,Tani Makmur I,Desa Nglutung Kelurahan Sendang Kabupaten Tulungagung,Sapoan,Hutan Rakyat,35/04/07.2002/KTH/055/2006,60,2
57,Tani Makmur II,Desa Nglutung Kelurahan Sendang Kabupaten Tulungagung,Talam,Hutan Rakyat,35/04/07.2002/KTH/056/2007,62,2
58,Tani Makmur III,Desa Nglutung Kelurahan Sendang Kabupaten Tulungagung,Tamar,Hutan Rakyat/Kebun Bibit Rakyat,35/04/07.2002/KTH/057/2007,49,2
59,Tani Makmur IV,Desa Nglutung Kelurahan Sendang Kabupaten Tulungagung,Mustofa,Hutan Rakyat,35/04/07.2002/KTH/058/2007,59,2
60,Jaya Makmur I,Desa Talang Kelurahan Sendang Kabupaten Tulungagung,Sunarji,Hutan Rakyat,35/04/07.2003/KTH/059/2006,95,2
61,Jaya Makmur II,Desa Talang Kelurahan Sendang Kabupaten Tulungagung,Siswoyo,Hutan Rakyat,35/04/07.2003/KTH/060/2007,93,2
62,Sumber Rejeki I,Desa Krosok Kelurahan Sendang Kabupaten Tulungagung,Tameji,Hutan Rakyat,35/04/07.2004/KTH/061/2004,64,2
63,Sumber Rejeki II,Desa Krosok Kelurahan Sendang Kabupaten Tulungagung,Juwari,Hutan Rakyat/Kebun Bibit Rakyat,35/04/07.2004/KTH/062/2006,91,2
64,Sumber Rejeki III,Desa Krosok Kelurahan Sendang Kabupaten Tulungagung,Isman,Hutan Rakyat,35/04/07.2004/KTH/063/2007,112,2
65,Sumber Rejeki IV,Desa Krosok Kelurahan Sendang Kabupaten Tulungagung,Yapan,Hutan Rakyat,35/04/07.2004/KTH/064/2007,116,2
66,Wono Lestari,Desa Dono Kelurahan Sendang Kabupaten Tulungagung,Yamadianto,Hutan Rakyat,35/04/07.2005/KTH/065/2007,62,2
67,Tugu Lertari,Desa Tugu Kelurahan Sendang Kabupaten Tulungagung,Saimun,Hutan Rakyat,35/04/07.2006/KTH/066/2006,67,2
68,Anjasmoro I,Desa Picisan Kelurahan Sendang Kabupaten Tulungagung,Sleman,Hutan Rakyat,35/04/07.2007/KTH/067/2003,59,2
69,Anjasmoro II,Desa Picisan Kelurahan Sendang Kabupaten Tulungagung,Supiyan,Hutan Rakyat,35/04/07.2007/KTH/068/2004,52,2
70,Anjasmoro III,Desa Picisan Kelurahan Sendang Kabupaten Tulungagung,Senen,Hutan Rakyat,35/04/07.2007/KTH/069/2005,43,2
71,Lertari,Desa Nyawangan Kelurahan Sendang Kabupaten Tulungagung,Sutrisno,Hutan Rakyat,35/04/07.2008/KTH/070/1999,58,2
72,Argo Mulyo,Desa Sendang Kelurahan Sendang Kabupaten Tulungagung,Sujiono,Hutan Rakyat,35/04/07.2009/KTH/071/2008,48,2
